ROOM,day_type,day_dur,discount_type,membership_level,AMOUNT,EFF_RATE
EAST_OAK,WEEKDAY,PARTIAL_DAY,FOUNDER,NON_MEMBER,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,FOUNDER,PART_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,FOUNDER,FULL_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,FOUNDER,unknown,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,FRIEND,NON_MEMBER,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,FRIEND,PART_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,FRIEND,FULL_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,FRIEND,unknown,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_DAY,NON_MEMBER,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_DAY,PART_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_DAY,FULL_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_DAY,unknown,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_ROOM,NON_MEMBER,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_ROOM,PART_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_ROOM,FULL_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_ROOM,unknown,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,NONE,NON_MEMBER,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,NONE,PART_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,NONE,FULL_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,NONE,unknown,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,REOCURRING,NON_MEMBER,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,REOCURRING,PART_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,REOCURRING,FULL_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,REOCURRING,unknown,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,RETURNING,NON_MEMBER,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,RETURNING,PART_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,RETURNING,FULL_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,RETURNING,unknown,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,unknown,NON_MEMBER,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,unknown,PART_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,unknown,FULL_TIME,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,unknown,unknown,,
EAST_OAK,WEEKDAY,FULL_DAY,FOUNDER,NON_MEMBER,,
EAST_OAK,WEEKDAY,FULL_DAY,FOUNDER,PART_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,FOUNDER,FULL_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,FOUNDER,unknown,,
EAST_OAK,WEEKDAY,FULL_DAY,FRIEND,NON_MEMBER,,
EAST_OAK,WEEKDAY,FULL_DAY,FRIEND,PART_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,FRIEND,FULL_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,FRIEND,unknown,,
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_DAY,NON_MEMBER,,
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_DAY,PART_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_DAY,FULL_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_DAY,unknown,,
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_ROOM,NON_MEMBER,35.00,35.00
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_ROOM,PART_TIME,25.00,22.50
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_ROOM,FULL_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_ROOM,unknown,,
EAST_OAK,WEEKDAY,FULL_DAY,NONE,NON_MEMBER,35.00,35.00
EAST_OAK,WEEKDAY,FULL_DAY,NONE,PART_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,NONE,FULL_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,NONE,unknown,,
EAST_OAK,WEEKDAY,FULL_DAY,REOCURRING,NON_MEMBER,,
EAST_OAK,WEEKDAY,FULL_DAY,REOCURRING,PART_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,REOCURRING,FULL_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,REOCURRING,unknown,,
EAST_OAK,WEEKDAY,FULL_DAY,RETURNING,NON_MEMBER,65.00,48.75
EAST_OAK,WEEKDAY,FULL_DAY,RETURNING,PART_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,RETURNING,FULL_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,RETURNING,unknown,,
EAST_OAK,WEEKDAY,FULL_DAY,unknown,NON_MEMBER,,
EAST_OAK,WEEKDAY,FULL_DAY,unknown,PART_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,unknown,FULL_TIME,,
EAST_OAK,WEEKDAY,FULL_DAY,unknown,unknown,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FOUNDER,NON_MEMBER,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FOUNDER,PART_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FOUNDER,FULL_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FOUNDER,unknown,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FRIEND,NON_MEMBER,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FRIEND,PART_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FRIEND,FULL_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FRIEND,unknown,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_DAY,NON_MEMBER,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_DAY,PART_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_DAY,FULL_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_DAY,unknown,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_ROOM,NON_MEMBER,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_ROOM,PART_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_ROOM,FULL_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_ROOM,unknown,,
EAST_OAK,WEEKEND,PARTIAL_DAY,NONE,NON_MEMBER,,
EAST_OAK,WEEKEND,PARTIAL_DAY,NONE,PART_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,NONE,FULL_TIME,35.00,35.00
EAST_OAK,WEEKEND,PARTIAL_DAY,NONE,unknown,,
EAST_OAK,WEEKEND,PARTIAL_DAY,REOCURRING,NON_MEMBER,,
EAST_OAK,WEEKEND,PARTIAL_DAY,REOCURRING,PART_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,REOCURRING,FULL_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,REOCURRING,unknown,,
EAST_OAK,WEEKEND,PARTIAL_DAY,RETURNING,NON_MEMBER,,
EAST_OAK,WEEKEND,PARTIAL_DAY,RETURNING,PART_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,RETURNING,FULL_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,RETURNING,unknown,,
EAST_OAK,WEEKEND,PARTIAL_DAY,unknown,NON_MEMBER,,
EAST_OAK,WEEKEND,PARTIAL_DAY,unknown,PART_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,unknown,FULL_TIME,,
EAST_OAK,WEEKEND,PARTIAL_DAY,unknown,unknown,,
EAST_OAK,WEEKEND,FULL_DAY,FOUNDER,NON_MEMBER,,
EAST_OAK,WEEKEND,FULL_DAY,FOUNDER,PART_TIME,,
EAST_OAK,WEEKEND,FULL_DAY,FOUNDER,FULL_TIME,,
EAST_OAK,WEEKEND,FULL_DAY,FOUNDER,unknown,,
EAST_OAK,WEEKEND,FULL_DAY,FRIEND,NON_MEMBER,,
EAST_OAK,WEEKEND,FULL_DAY,FRIEND,PART_TIME,,
EAST_OAK,WEEKEND,FULL_DAY,FRIEND,FULL_TIME,,
EAST_OAK,WEEKEND,FULL_DAY,FRIEND,unknown,,
EAST_OAK,WEEKEND,FULL_DAY,MULTI_DAY,NON_MEMBER,,
EAST_OAK,WEEKEND,FULL_DAY,MULTI_DAY,PART_TIME,,
EAST_OAK,WEEKEND,FULL_DAY,MULTI_DAY,FULL_TIME,,
EAST_OAK,WEEKEND,FULL_DAY,MULTI_DAY,unknown,,
EAST_OAK,WEEKEND,FULL_DAY,MULTI_ROOM,NON_MEMBER,65.00,55.25
EAST_OAK,WEEKEND,FULL_DAY,MULTI_ROOM,PART_TIME,,
EAST_OAK,WEEKEND,FULL_DAY,MULTI_ROOM,FULL_TIME,,
EAST_OAK,WEEKEND,FULL_DAY,MULTI_ROOM,unknown,,
EAST_OAK,WEEKEND,FULL_DAY,NONE,NON_MEMBER,55.00,55.00
EAST_OAK,WEEKEND,FULL_DAY,NONE,PART_TIME,55.00,41.25
EAST_OAK,WEEKEND,FULL_DAY,NONE,FULL_TIME,45.00, 0.00
EAST_OAK,WEEKEND,FULL_DAY,NONE,unknown,,
EAST_OAK,WEEKEND,FULL_DAY,REOCURRING,NON_MEMBER,,
EAST_OAK,WEEKEND,FULL_DAY,REOCURRING,PART_TIME,,
EAST_OAK,WEEKEND,FULL_DAY,REOCURRING,FULL_TIME,,
EAST_OAK,WEEKEND,FULL_DAY,REOCURRING,unknown,,
EAST_OAK,WEEKEND,FULL_DAY,RETURNING,NON_MEMBER,,
EAST_OAK,WEEKEND,FULL_DAY,RETURNING,PART_TIME,,
EAST_OAK,WEEKEND,FULL_DAY,RETURNING,FULL_TIME,,
EAST_OAK,WEEKEND,FULL_DAY,RETURNING,unknown,,
