ROOM,day_type,day_dur,discount_type,membership_level,HOURS_UNITS,SUBTOTAL,TOTAL,count
EAST_OAK,WEEKDAY,PARTIAL_DAY,FOUNDER,NON_MEMBER,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,FOUNDER,PART_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,FOUNDER,FULL_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,FOUNDER,unknown,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,FRIEND,NON_MEMBER,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,FRIEND,PART_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,FRIEND,FULL_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,FRIEND,unknown,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_DAY,NON_MEMBER,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_DAY,PART_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_DAY,FULL_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_DAY,unknown,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_ROOM,NON_MEMBER,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_ROOM,PART_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_ROOM,FULL_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,MULTI_ROOM,unknown,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,NONE,NON_MEMBER,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,NONE,PART_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,NONE,FULL_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,NONE,unknown,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,REOCURRING,NON_MEMBER,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,REOCURRING,PART_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,REOCURRING,FULL_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,REOCURRING,unknown,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,RETURNING,NON_MEMBER,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,RETURNING,PART_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,RETURNING,FULL_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,RETURNING,unknown,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,unknown,NON_MEMBER,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,unknown,PART_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,unknown,FULL_TIME,,,,
EAST_OAK,WEEKDAY,PARTIAL_DAY,unknown,unknown,,,,
EAST_OAK,WEEKDAY,FULL_DAY,FOUNDER,NON_MEMBER,,,,
EAST_OAK,WEEKDAY,FULL_DAY,FOUNDER,PART_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,FOUNDER,FULL_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,FOUNDER,unknown,,,,
EAST_OAK,WEEKDAY,FULL_DAY,FRIEND,NON_MEMBER,,,,
EAST_OAK,WEEKDAY,FULL_DAY,FRIEND,PART_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,FRIEND,FULL_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,FRIEND,unknown,,,,
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_DAY,NON_MEMBER,,,,
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_DAY,PART_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_DAY,FULL_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_DAY,unknown,,,,
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_ROOM,NON_MEMBER,11.50,402.50,402.50, 2.00
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_ROOM,PART_TIME, 7.00,175.00,157.50, 1.00
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_ROOM,FULL_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,MULTI_ROOM,unknown,,,,
EAST_OAK,WEEKDAY,FULL_DAY,NONE,NON_MEMBER, 8.50,297.50,297.50, 2.00
EAST_OAK,WEEKDAY,FULL_DAY,NONE,PART_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,NONE,FULL_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,NONE,unknown,,,,
EAST_OAK,WEEKDAY,FULL_DAY,REOCURRING,NON_MEMBER,,,,
EAST_OAK,WEEKDAY,FULL_DAY,REOCURRING,PART_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,REOCURRING,FULL_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,REOCURRING,unknown,,,,
EAST_OAK,WEEKDAY,FULL_DAY,RETURNING,NON_MEMBER, 5.50,357.50,268.12, 1.00
EAST_OAK,WEEKDAY,FULL_DAY,RETURNING,PART_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,RETURNING,FULL_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,RETURNING,unknown,,,,
EAST_OAK,WEEKDAY,FULL_DAY,unknown,NON_MEMBER,,,,
EAST_OAK,WEEKDAY,FULL_DAY,unknown,PART_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,unknown,FULL_TIME,,,,
EAST_OAK,WEEKDAY,FULL_DAY,unknown,unknown,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FOUNDER,NON_MEMBER,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FOUNDER,PART_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FOUNDER,FULL_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FOUNDER,unknown,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FRIEND,NON_MEMBER,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FRIEND,PART_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FRIEND,FULL_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,FRIEND,unknown,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_DAY,NON_MEMBER,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_DAY,PART_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_DAY,FULL_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_DAY,unknown,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_ROOM,NON_MEMBER,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_ROOM,PART_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_ROOM,FULL_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,MULTI_ROOM,unknown,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,NONE,NON_MEMBER,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,NONE,PART_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,NONE,FULL_TIME, 1.00,35.00,35.00, 1.00
EAST_OAK,WEEKEND,PARTIAL_DAY,NONE,unknown,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,REOCURRING,NON_MEMBER,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,REOCURRING,PART_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,REOCURRING,FULL_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,REOCURRING,unknown,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,RETURNING,NON_MEMBER,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,RETURNING,PART_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,RETURNING,FULL_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,RETURNING,unknown,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,unknown,NON_MEMBER,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,unknown,PART_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,unknown,FULL_TIME,,,,
EAST_OAK,WEEKEND,PARTIAL_DAY,unknown,unknown,,,,
EAST_OAK,WEEKEND,FULL_DAY,FOUNDER,NON_MEMBER,,,,
EAST_OAK,WEEKEND,FULL_DAY,FOUNDER,PART_TIME,,,,
EAST_OAK,WEEKEND,FULL_DAY,FOUNDER,FULL_TIME,,,,
EAST_OAK,WEEKEND,FULL_DAY,FOUNDER,unknown,,,,
EAST_OAK,WEEKEND,FULL_DAY,FRIEND,NON_MEMBER,,,,
EAST_OAK,WEEKEND,FULL_DAY,FRIEND,PART_TIME,,,,
EAST_OAK,WEEKEND,FULL_DAY,FRIEND,FULL_TIME,,,,
EAST_OAK,WEEKEND,FULL_DAY,FRIEND,unknown,,,,
EAST_OAK,WEEKEND,FULL_DAY,MULTI_DAY,NON_MEMBER,,,,
EAST_OAK,WEEKEND,FULL_DAY,MULTI_DAY,PART_TIME,,,,
EAST_OAK,WEEKEND,FULL_DAY,MULTI_DAY,FULL_TIME,,,,
EAST_OAK,WEEKEND,FULL_DAY,MULTI_DAY,unknown,,,,
EAST_OAK,WEEKEND,FULL_DAY,MULTI_ROOM,NON_MEMBER,11.00,715.00,589.87, 2.00
EAST_OAK,WEEKEND,FULL_DAY,MULTI_ROOM,PART_TIME,,,,
EAST_OAK,WEEKEND,FULL_DAY,MULTI_ROOM,FULL_TIME,,,,
EAST_OAK,WEEKEND,FULL_DAY,MULTI_ROOM,unknown,,,,
EAST_OAK,WEEKEND,FULL_DAY,NONE,NON_MEMBER,,,,
EAST_OAK,WEEKEND,FULL_DAY,NONE,PART_TIME, 8.00,440.00,330.00, 1.00
EAST_OAK,WEEKEND,FULL_DAY,NONE,FULL_TIME, 3.00,135.00, 0.00, 1.00
EAST_OAK,WEEKEND,FULL_DAY,NONE,unknown,,,,
