invoice,invoice_date,DATE,item_type,item,AMOUNT,HOURS_UNITS,SUBTOTAL,DISCOUNT,TOTAL,membership,discount_type,day_type,day_dur
1015003 Oakland High,2015-10-12,2015-10-17,ITEM_TOT,,,,472.5,,472.5,,,,
815005-2 Oak Food Policy Coun,2015-10-12,2015-11-01,SERVICE,SETUP_RESET,75.0,2.0,150.0,0.0,150.0,NON-MEMBER,,WEEKEND,
1015003 Oakland High,2015-10-12,2015-10-17,ROOM,OMI,85.0,3.5,297.5,0.0,297.5,,,,
1015003 Oakland High,2015-10-12,2015-10-17,SERVICE,STAFFING,30.0,3.5,105.0,0.0,105.0,,,,
1015003 Oakland High,2015-10-12,2015-10-17,SERVICE,JANITORIAL,70.0,1.0,70.0,0.0,70.0,,,,
815005-2 Oak Food Policy Coun,2015-10-12,2015-11-01,ITEM_TOT,,,,1745.0,,1745.0,NON-MEMBER,,WEEKEND,
815005-2 Oak Food Policy Coun,2015-10-12,2015-11-01,SERVICE,A/V,40.0,5.0,200.0,0.0,200.0,NON-MEMBER,,WEEKEND,
815005-2 Oak Food Policy Coun,2015-10-12,2015-11-01,SERVICE,STAFFING,40.0,5.0,200.0,0.0,200.0,NON-MEMBER,,WEEKEND,
815005-2 Oak Food Policy Coun,2015-10-12,2015-11-01,SERVICE,JANITORIAL,250.0,1.0,250.0,0.0,250.0,NON-MEMBER,,WEEKEND,
815005-2 Oak Food Policy Coun,2015-10-12,2015-11-01,ROOM,BROADWAY,315.0,3.0,945.0,0.0,945.0,NON-MEMBER,,WEEKEND,
1015002 OPC,2015-10-07,2015-12-06,ROOM,BROADWAY,210.0,3.0,630.0,0.0,630.0,FULL-TIME,,WEEKEND,
1015002 OPC,2015-10-07,2015-12-06,ROOM,EAST_OAK,45.0,3.0,135.0,1.0,0.0,FULL-TIME,,WEEKEND,
1015002 OPC,2015-10-07,2015-12-06,SERVICE,SETUP_RESET,75.0,2.5,187.5,1.0,0.0,FULL-TIME,,WEEKEND,
1015002 OPC,2015-10-07,2015-12-06,SERVICE,STAFFING,40.0,5.5,220.0,0.0,220.0,FULL-TIME,,WEEKEND,
1015002 OPC,2015-10-07,2015-12-06,SERVICE,JANITORIAL,300.0,1.0,300.0,1.0,0.0,FULL-TIME,,WEEKEND,
1015002 OPC,2015-10-07,2015-12-06,ITEM_TOT,,,,1472.5,,850.0,FULL-TIME,,WEEKEND,
815002-2 Occur Award Dinner ,2015-10-05,2015-10-15,ROOM,DOWNTOWN,95.0,2.0,190.0,1.0,0.0,NON-MEMBER,RETURNING,WEEKDAY,
815002-2 Occur Award Dinner ,2015-10-05,2015-10-15,ITEM_TOT,,,,,,2163.75,NON-MEMBER,RETURNING,WEEKDAY,
815002-2 Occur Award Dinner ,2015-10-05,2015-10-15,SERVICE,A/V,40.0,5.0,200.0,0.0,200.0,NON-MEMBER,RETURNING,WEEKDAY,
